timestamp,Count,Open,High,Low,Close,Volume
16396107600,636,48797.98000000,48834.70000000,48797.98000000,48823.25000000,25.08534000
16396108200,470,48823.24000000,48898.19000000,48823.24000000,48873.50000000,10.30307000
16396108800,574,48873.50000000,48875.26000000,48805.00000000,48825.49000000,13.05657000
16396109400,457,48825.49000000,48851.57000000,48811.43000000,48814.92000000,9.17784000
16396110000,586,48814.92000000,48875.26000000,48814.91000000,48855.89000000,18.37133000
16396110600,480,48855.90000000,48855.90000000,48802.95000000,48825.01000000,12.19020000
16396111200,310,48825.00000000,48840.06000000,48812.00000000,48835.36000000,5.62028000
16396111800,660,48835.35000000,48852.09000000,48761.63000000,48761.63000000,33.91367000
16396112400,502,48761.64000000,48783.55000000,48753.04000000,48783.48000000,10.23602000
16396113000,436,48783.48000000,48783.48000000,48736.06000000,48752.14000000,13.23154000
16396113600,441,48749.18000000,48791.51000000,48748.55000000,48771.67000000,15.39986000
16396114200,471,48771.66000000,48811.56000000,48753.72000000,48794.69000000,11.16555000
16396114800,532,48794.69000000,48794.69000000,48764.73000000,48765.01000000,12.72466000
16396115400,469,48769.43000000,48770.01000000,48740.00000000,48743.35000000,11.99215000
16396116000,363,48743.36000000,48743.36000000,48721.36000000,48726.64000000,10.43319000
