timestamp,Count,Open,High,Low,Close,Volume
16396643400,635,48701.12000000,48758.49000000,48685.60000000,48744.96000000,24.67415000
16396644000,892,48744.96000000,48830.55000000,48739.06000000,48820.58000000,21.00482000
16396644600,956,48820.58000000,48871.21000000,48785.89000000,48788.22000000,45.68635000
16396645200,592,48788.22000000,48814.61000000,48750.79000000,48759.73000000,10.86727000
16396645800,520,48759.73000000,48787.62000000,48750.70000000,48782.37000000,13.28834000
16396646400,451,48782.36000000,48787.52000000,48750.91000000,48766.04000000,9.71051000
16396647000,430,48766.04000000,48777.51000000,48755.75000000,48763.57000000,7.90559000
16396647600,602,48763.57000000,48763.57000000,48701.98000000,48717.93000000,17.52751000
16396648200,556,48717.92000000,48735.49000000,48699.03000000,48726.01000000,12.60418000
16396648800,534,48726.01000000,48760.00000000,48723.94000000,48752.22000000,10.01148000
16396649400,607,48752.22000000,48775.05000000,48738.91000000,48751.96000000,16.54061000
16396650000,692,48751.96000000,48797.38000000,48740.74000000,48756.85000000,20.92883000
16396650600,965,48756.86000000,48756.86000000,48662.18000000,48675.88000000,27.47592000
16396651200,669,48675.89000000,48768.33000000,48673.73000000,48743.42000000,22.50200000
16396651800,196,48743.42000000,48749.91000000,48724.49000000,48740.91000000,11.91742000
